Time (ms),Spikeling Vm (mV),Stimulus (%),Total Current Input (a.u.),Synapse 1 Vm (mV),Synapse 1 Input (a.u.),Synapse 2 Vm (mV),Synapse 2 Input (a.u.),Trigger
14.0,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
14.1,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
14.2,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
14.3,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
14.4,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
14.5,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
14.6,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
14.7,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
14.8,-70.0,0.0,0.0,-113.0,0.0,-114.0,0.0,0.0
14.9,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
15.0,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
15.1,-70.0,0.0,0.0,-113.0,0.0,-114.0,0.0,0.0
15.2,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
15.3,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
15.4,-70.0,0.0,0.0,-113.0,0.0,-114.0,0.0,0.0
15.5,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
15.6,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
15.7,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
15.8,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
15.9,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
16.0,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
16.1,-70.0,0.0,0.0,-113.0,0.0,-114.0,0.0,0.0
16.2,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
16.3,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
16.4,-70.0,0.0,0.0,-113.0,0.0,-113.0,0.0,0.0
16.5,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
16.6,-70.0,0.0,0.0,-113.0,0.0,-114.0,0.0,0.0
16.7,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
16.8,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
16.9,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
17.0,-70.0,0.0,0.0,-112.0,0.0,-113.0,0.0,0.0
17.1,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
17.2,-70.0,0.0,0.0,-115.0,0.0,-115.0,0.0,0.0
